Model,Device,PP,TP,DType,Input,Output,BS,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
Llama2-7B,IntelGaudi2B,1,1,BF16,512,512,1,256,17.83,5.97,6.03,6.0,6.02,166.11
Llama2-7B,IntelGaudi2B,1,1,BF16,512,512,2,256,30.4,6.14,6.25,6.19,6.24,320.51
Llama2-7B,IntelGaudi2B,1,1,BF16,512,512,4,256,55.54,6.48,6.7,6.59,6.68,598.8
Llama2-7B,IntelGaudi2B,1,1,BF16,512,512,8,256,105.82,7.15,7.59,7.37,7.56,1058.2
Llama2-7B,IntelGaudi2B,1,1,BF16,512,512,16,256,206.38,8.5,9.38,8.94,9.33,1714.9
Llama2-7B,IntelGaudi2B,1,1,BF16,512,512,32,256,407.49,11.19,12.97,12.08,12.85,2490.27
Llama2-7B,IntelGaudi2B,1,1,BF16,512,512,64,256,809.72,16.58,20.13,18.35,19.9,3216.08
Llama2-7B,IntelGaudi2B,1,1,BF16,512,512,128,256,1614.18,27.37,34.46,30.91,34.0,3764.71
Llama2-7B,IntelGaudi2B,1,1,BF16,512,512,256,256,3223.09,51.62,65.81,58.7,64.88,3945.75
Llama2-7B,IntelGaudi2B,1,1,BF16,512,512,512,256,6440.91,101.97,130.34,116.12,128.48,3985.06
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2B,1,1,BF16,1024,512,1,256,32.15,6.08,6.14,6.11,6.16,162.34
Llama2-7B,IntelGaudi2B,1,1,BF16,1024,512,2,256,59.04,6.36,6.47,6.42,6.52,306.75
Llama2-7B,IntelGaudi2B,1,1,BF16,1024,512,4,256,112.81,6.92,7.14,7.03,7.24,552.49
Llama2-7B,IntelGaudi2B,1,1,BF16,1024,512,8,256,220.35,8.04,8.48,8.26,8.67,922.72
Llama2-7B,IntelGaudi2B,1,1,BF16,1024,512,16,256,435.43,10.27,11.16,10.71,11.54,1386.48
Llama2-7B,IntelGaudi2B,1,1,BF16,1024,512,32,256,865.59,14.74,16.51,15.62,17.28,1851.85
Llama2-7B,IntelGaudi2B,1,1,BF16,1024,512,64,256,1725.91,23.68,27.22,25.45,28.77,2224.54
Llama2-7B,IntelGaudi2B,1,1,BF16,1024,512,128,256,3446.56,41.55,48.65,45.09,51.74,2473.91
Llama2-7B,IntelGaudi2B,1,1,BF16,1024,512,256,256,6887.86,79.99,94.18,87.07,100.35,2551.07
Llama2-7B,IntelGaudi2B,1,1,BF16,1024,512,512,256,13770.46,158.71,187.08,172.87,199.42,OOM
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2B,1,1,BF16,2048,512,1,256,66.02,6.3,6.36,6.33,6.45,155.04
Llama2-7B,IntelGaudi2B,1,1,BF16,2048,512,2,256,126.77,6.8,6.91,6.86,7.09,282.09
Llama2-7B,IntelGaudi2B,1,1,BF16,2048,512,4,256,248.28,7.81,8.03,7.92,8.39,476.76
Llama2-7B,IntelGaudi2B,1,1,BF16,2048,512,8,256,491.3,9.81,10.25,10.03,10.97,729.26
Llama2-7B,IntelGaudi2B,1,1,BF16,2048,512,16,256,977.33,13.82,14.7,14.26,16.14,991.33
Llama2-7B,IntelGaudi2B,1,1,BF16,2048,512,32,256,1949.39,21.83,23.61,22.72,26.48,1208.46
Llama2-7B,IntelGaudi2B,1,1,BF16,2048,512,64,256,3893.52,37.86,41.41,39.63,47.16,1357.08
Llama2-7B,IntelGaudi2B,1,1,BF16,2048,512,128,256,7781.77,69.92,77.02,73.46,88.52,OOM
Llama2-7B,IntelGaudi2B,1,1,BF16,2048,512,256,256,15558.28,136.73,150.92,143.81,173.92,OOM
Llama2-7B,IntelGaudi2B,1,1,BF16,2048,512,512,256,31111.3,272.19,300.56,286.35,346.56,OOM
,,,,,,,,,,,,,,
