Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
IntelGaudi2C,BF16,1,1,512,4096,11008,86.0,86.03,2.19,2.46,36.67,41.11,47.36,compute
