Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,1024,1024,4096,14336,114688.0,148.0,280.8,2.46,63.09,428.27,439.97,compute
IntelGaudi2C,BF16,2,1024,1024,4096,14336,229376.0,184.0,280.8,2.46,78.43,856.55,832.19,compute
IntelGaudi2C,BF16,4,1024,1024,4096,14336,458752.0,256.0,280.8,2.46,109.12,1713.09,1616.64,compute
IntelGaudi2C,BF16,8,1024,1024,4096,14336,917504.0,400.0,280.8,2.46,170.5,3426.18,3185.54,compute
IntelGaudi2C,BF16,16,1024,1024,4096,14336,1835008.0,688.0,280.8,2.46,293.26,6852.37,6323.35,compute
IntelGaudi2C,BF16,32,1024,1024,4096,14336,3670016.0,1264.0,280.8,2.46,538.78,13704.74,12598.95,compute
IntelGaudi2C,BF16,64,1024,1024,4096,14336,7340032.0,2416.0,280.8,2.46,1029.82,27409.48,25150.16,compute
IntelGaudi2C,BF16,128,1024,1024,4096,14336,14680064.0,4720.0,280.8,2.46,2011.9,54818.96,50252.58,compute
IntelGaudi2C,BF16,256,1024,1024,4096,14336,29360128.0,9328.0,280.8,2.46,3976.06,109637.91,100457.43,compute
IntelGaudi2C,BF16,512,1024,1024,4096,14336,58720256.0,18544.0,280.8,2.46,7904.39,219275.82,200867.11,compute
,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,2048,2048,4096,14336,229376.0,184.0,280.8,2.46,78.43,856.55,832.19,compute
IntelGaudi2C,BF16,2,2048,2048,4096,14336,458752.0,256.0,280.8,2.46,109.12,1713.09,1616.64,compute
IntelGaudi2C,BF16,4,2048,2048,4096,14336,917504.0,400.0,280.8,2.46,170.5,3426.18,3185.54,compute
IntelGaudi2C,BF16,8,2048,2048,4096,14336,1835008.0,688.0,280.8,2.46,293.26,6852.37,6323.35,compute
IntelGaudi2C,BF16,16,2048,2048,4096,14336,3670016.0,1264.0,280.8,2.46,538.78,13704.74,12598.95,compute
IntelGaudi2C,BF16,32,2048,2048,4096,14336,7340032.0,2416.0,280.8,2.46,1029.82,27409.48,25150.16,compute
IntelGaudi2C,BF16,64,2048,2048,4096,14336,14680064.0,4720.0,280.8,2.46,2011.9,54818.96,50252.58,compute
IntelGaudi2C,BF16,128,2048,2048,4096,14336,29360128.0,9328.0,280.8,2.46,3976.06,109637.91,100457.43,compute
IntelGaudi2C,BF16,256,2048,2048,4096,14336,58720256.0,18544.0,280.8,2.46,7904.39,219275.82,200867.11,compute
IntelGaudi2C,BF16,512,2048,2048,4096,14336,117440512.0,36976.0,280.8,2.46,15761.04,438551.65,401686.48,compute
,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,2048,2048,4096,14336,229376.0,184.0,280.8,2.46,78.43,856.55,832.19,compute
IntelGaudi2C,BF16,2,2048,2048,4096,14336,458752.0,256.0,280.8,2.46,109.12,1713.09,1616.64,compute
IntelGaudi2C,BF16,4,2048,2048,4096,14336,917504.0,400.0,280.8,2.46,170.5,3426.18,3185.54,compute
IntelGaudi2C,BF16,8,2048,2048,4096,14336,1835008.0,688.0,280.8,2.46,293.26,6852.37,6323.35,compute
IntelGaudi2C,BF16,16,2048,2048,4096,14336,3670016.0,1264.0,280.8,2.46,538.78,13704.74,12598.95,compute
IntelGaudi2C,BF16,32,2048,2048,4096,14336,7340032.0,2416.0,280.8,2.46,1029.82,27409.48,25150.16,compute
IntelGaudi2C,BF16,64,2048,2048,4096,14336,14680064.0,4720.0,280.8,2.46,2011.9,54818.96,50252.58,compute
IntelGaudi2C,BF16,128,2048,2048,4096,14336,29360128.0,9328.0,280.8,2.46,3976.06,109637.91,100457.43,compute
IntelGaudi2C,BF16,256,2048,2048,4096,14336,58720256.0,18544.0,280.8,2.46,7904.39,219275.82,200867.11,compute
IntelGaudi2C,BF16,512,2048,2048,4096,14336,117440512.0,36976.0,280.8,2.46,15761.04,438551.65,401686.48,compute
,,,,,,,,,,,,,,
